CTDPRS_DBAR,CTDPRS_FLAG_W,CTDTMP_ITS-90,CTDTMP_FLAG_W,CTDSAL_PSS-78,CTDSAL_FLAG_W,CTDOXY_UMOL_KG,CTDOXY_FLAG_W,CTDNOBS,CTDETIME,CTDCDOMFRAW_0-5VDC,CTDCDOMFRAW_FLAG_W,CTDBEAMCP_METER,CTDBEAMCP_FLAG_W,StationID
2610,2,1.715,2,34.7509,2,201.3,2,24,7879.8,0.204,2,0,2,I8S-S45
2612,2,1.7132,2,34.7509,2,201.4,2,24,7880.8,0.203,2,0,2,I8S-S45
2614,2,1.7113,2,34.7508,2,201.3,2,24,7881.8,0.208,2,0,2,I8S-S45
2616,2,1.7102,2,34.7508,2,201.3,2,36,7883,0.207,2,0,2,I8S-S45
2618,2,1.7111,2,34.7502,2,201.3,2,108,7886.4,0.207,2,0,2,I8S-S45
2620,2,1.7072,2,34.7504,2,201.4,2,60,7890,0.209,2,0,2,I8S-S45
2622,2,1.6958,2,34.75,2,201.5,2,36,7892.1,0.206,2,0,2,I8S-S45
2624,2,1.6873,2,34.7497,2,201.6,2,24,7893.3,0.215,2,0,2,I8S-S45
2626,2,1.6858,2,34.7496,2,201.5,2,36,7894.6,0.206,2,0,2,I8S-S45
2628,2,1.6848,2,34.7494,2,201.5,2,84,7897,0.209,2,0,2,I8S-S45
2630,2,1.6823,2,34.7495,2,201.6,2,36,7899.5,0.208,2,0,2,I8S-S45
2632,2,1.6803,2,34.7494,2,201.6,2,36,7901,0.206,2,0,2,I8S-S45
2634,2,1.6763,2,34.7491,2,201.7,2,47,7902.8,0.204,2,0,2,I8S-S45
2636,2,1.6731,2,34.7491,2,201.8,2,36,7904.5,0.207,2,0,2,I8S-S45
2638,2,1.6729,2,34.7491,2,201.8,2,36,7906,0.203,2,0,2,I8S-S45
2640,2,1.673,2,34.7489,2,201.8,2,72,7908.3,0.205,2,0,2,I8S-S45
2642,2,1.6716,2,34.7487,2,201.8,2,60,7911,0.206,2,0,2,I8S-S45
2644,2,1.6606,2,34.7485,2,201.8,2,59,7913.6,0.209,2,0.0004,2,I8S-S45
2646,2,1.6579,2,34.748,2,201.8,2,60,7916,0.209,2,0.0004,2,I8S-S45
2648,2,1.656,2,34.7483,2,201.9,2,36,7918,0.213,2,0.0004,2,I8S-S45
2650,2,1.649,2,34.748,2,201.9,2,24,7919.3,0.213,2,0,2,I8S-S45
2652,2,1.6468,2,34.7479,2,201.9,2,36,7920.5,0.212,2,0,2,I8S-S45
2654,2,1.6441,2,34.7477,2,201.9,2,36,7922,0.209,2,0,2,I8S-S45
2656,2,1.6364,2,34.7473,2,202,2,48,7923.8,0.21,2,0,2,I8S-S45
2658,2,1.6341,2,34.7473,2,202,2,48,7925.8,0.206,2,0,2,I8S-S45
2660,2,1.6338,2,34.747,2,202.1,2,84,7928.6,0.209,2,0,2,I8S-S45
2662,2,1.6317,2,34.7468,2,202,2,96,7932.3,0.206,2,0,2,I8S-S45
2664,2,1.6213,2,34.7468,2,202,2,36,7935,0.208,2,0,2,I8S-S45
2666,2,1.619,2,34.7469,2,202,2,24,7936.3,0.209,2,0,2,I8S-S45
2668,2,1.6174,2,34.7468,2,202,2,24,7937.3,0.205,2,0,2,I8S-S45
2670,2,1.6164,2,34.7466,2,202,2,24,7938.3,0.208,2,0,2,I8S-S45
2672,2,1.6157,2,34.7465,2,202,2,36,7939.5,0.209,2,0,2,I8S-S45
2674,2,1.6158,2,34.7463,2,202.1,2,60,7941.5,0.207,2,0,2,I8S-S45
2676,2,1.6161,2,34.7463,2,202.1,2,108,7945,0.208,2,0.0004,2,I8S-S45
2678,2,1.6156,2,34.7465,2,202.1,2,48,7948.3,0.205,2,0.0004,2,I8S-S45
2680,2,1.6145,2,34.7466,2,202.1,2,24,7949.8,0.215,2,0.0004,2,I8S-S45
2682,2,1.6108,2,34.7462,2,202.1,2,48,7951.3,0.209,2,0.0004,2,I8S-S45
2684,2,1.6041,2,34.7461,2,202.1,2,36,7953,0.212,2,0.0012,2,I8S-S45
2686,2,1.6038,2,34.7461,2,202.2,2,24,7954.3,0.21,2,0.0012,2,I8S-S45
2688,2,1.6036,2,34.7459,2,202.2,2,36,7955.5,0.209,2,0.0008,2,I8S-S45
2690,2,1.6037,2,34.7457,2,202.2,2,84,7958.3,0.209,2,0.0008,2,I8S-S45
2692,2,1.6023,2,34.7455,2,202.1,2,48,7962.3,0.206,2,0.0004,2,I8S-S45
