CTDPRS_DBAR,CTDPRS_FLAG_W,CTDTMP_ITS-90,CTDTMP_FLAG_W,CTDSAL_PSS-78,CTDSAL_FLAG_W,CTDOXY_UMOL_KG,CTDOXY_FLAG_W,CTDCDOMFRAW_0-5VDC,CTDCDOMFRAW_FLAG_W,CTDBEAMCP_METER,CTDBEAMCP_FLAG_W,StationID
232,2,17.9463,2,35.8305,2,206.9,2,0.155,1,0.0048,2,I9N-S101
234,2,17.9039,2,35.8275,2,207.3,2,0.153,1,0.0048,2,I9N-S101
236,2,17.83,2,35.8255,2,207.4,2,0.155,1,0.0044,2,I9N-S101
238,2,17.6279,2,35.8089,2,206.8,2,0.156,1,0.0044,2,I9N-S101
240,2,17.5888,2,35.8059,2,205.5,2,0.154,1,0.004,2,I9N-S101
242,2,17.5012,2,35.7986,2,205.6,2,0.158,1,0.0036,2,I9N-S101
244,2,17.4617,2,35.7984,2,205.5,2,0.151,1,0.004,2,I9N-S101
246,2,17.3718,2,35.7966,2,205.3,2,0.155,1,0.004,2,I9N-S101
248,2,17.3016,2,35.7929,2,205.9,2,0.153,1,0.0036,2,I9N-S101
250,2,17.2384,2,35.787,2,206.5,2,0.154,1,0.0032,2,I9N-S101
252,2,17.187,2,35.78,2,206.5,2,0.156,1,0.0032,2,I9N-S101
254,2,17.1502,2,35.7776,2,206.4,2,0.154,1,0.0032,2,I9N-S101
256,2,17.131,2,35.7822,2,206.5,2,0.157,1,0.0032,2,I9N-S101
258,2,17.087,2,35.7845,2,207.5,2,0.157,1,0.0032,2,I9N-S101
260,2,16.9326,2,35.77,2,208.3,2,0.151,1,0.0032,2,I9N-S101
262,2,16.8051,2,35.7484,2,207.6,2,0.159,1,0.0032,2,I9N-S101
264,2,16.7767,2,35.7551,2,207,2,0.157,1,0.0032,2,I9N-S101
266,2,16.728,2,35.7634,2,208.5,2,0.154,1,0.0032,2,I9N-S101
268,2,16.6745,2,35.7627,2,210.3,2,0.149,1,0.0032,2,I9N-S101
270,2,16.6197,2,35.7559,2,211.5,2,0.154,1,0.0028,2,I9N-S101
272,2,16.5202,2,35.7373,2,212,2,0.164,1,0.0028,2,I9N-S101
274,2,16.4037,2,35.7184,2,211.4,2,0.156,1,0.0028,2,I9N-S101
276,2,16.3702,2,35.7205,2,210.5,2,0.156,1,0.0028,2,I9N-S101
278,2,16.3554,2,35.7352,2,210.8,2,0.151,1,0.0028,2,I9N-S101
280,2,16.3027,2,35.729,2,213.1,2,0.157,1,0.0028,2,I9N-S101
282,2,16.2735,2,35.7331,2,214.4,2,0.155,1,0.0028,2,I9N-S101
284,2,16.2404,2,35.7339,2,216.1,2,0.152,1,0.0028,2,I9N-S101
286,2,16.1611,2,35.723,2,217.3,2,0.152,1,0.0028,2,I9N-S101
288,2,16.0439,2,35.7059,2,217.9,2,0.153,1,0.0024,2,I9N-S101
290,2,15.9117,2,35.6824,2,218,2,0.152,1,0.0024,2,I9N-S101
292,2,15.7203,2,35.6489,2,216.8,2,0.162,1,0.0024,2,I9N-S101
294,2,15.5707,2,35.6305,2,215.3,2,0.163,1,0.0024,2,I9N-S101
296,2,15.5058,2,35.6231,2,215.7,2,0.155,1,0.0024,2,I9N-S101
298,2,15.3546,2,35.6096,2,216.4,2,0.159,1,0.0024,2,I9N-S101
300,2,15.2662,2,35.5957,2,216.4,2,0.159,1,0.0024,2,I9N-S101
302,2,15.1837,2,35.5898,2,216.9,2,0.156,1,0.0024,2,I9N-S101
304,2,15.0648,2,35.5772,2,217.4,2,0.153,1,0.0024,2,I9N-S101
306,2,15.0517,2,35.5743,2,217.7,2,0.157,1,0.0024,2,I9N-S101
308,2,15.0491,2,35.5747,2,217.9,2,0.156,1,0.0028,2,I9N-S101
310,2,15.0471,2,35.5751,2,218.1,2,0.156,1,0.0024,2,I9N-S101
312,2,15.0332,2,35.5748,2,218.3,2,0.155,1,0.0024,2,I9N-S101
314,2,14.8856,2,35.5581,2,218.7,2,0.157,1,0.0024,2,I9N-S101
