DNA_ID,DNA_Concentration,Depth,Latitude,Autotroph,Autotroph_Normalized,Other,Other_Normalized,Stations,Latitude_Round,Zone
P16S-S15-N05,3.465513721,235.075247,-23,0.061233264,0.017669318,0.938766736,0.270888189,P16S-S15,-23,Euphotic
P16S-S15-N03,1.425755668,483.1670709,-23,0.012129923,0.008507715,0.987870077,0.692874732,P16S-S15,-23,Aphotic
P16S-S33-N12,5.492696201,20.65403676,-32,0.123728342,0.022525976,0.876271658,0.159533975,P16S-S33,-32,Euphotic
P16S-S33-N11,6.925054045,36.24248285,-32,0.174806694,0.025242647,0.825193306,0.119160558,P16S-S33,-32,Euphotic
P16S-S33-N10,10.36635979,66.3238372,-32,0.204714193,0.019747934,0.795285807,0.076717944,P16S-S33,-32,Euphotic
P16S-S33-N09,10.88635976,86.37562052,-32,0.226887196,0.02084142,0.773112804,0.07101665,P16S-S33,-32,Euphotic
P16S-S33-N08,8.587544888,104.1426412,-32,0.342015861,0.039826966,0.657984139,0.076620751,P16S-S33,-32,Euphotic
P16S-S33-N15,10.19721832,135.0079394,-32,0.257579382,0.025259769,0.742420618,0.07280619,P16S-S33,-32,Euphotic
P16S-S33-N05,3.364280353,232.932362,-32,0.043594715,0.01295811,0.956405285,0.284282279,P16S-S33,-32,Euphotic
P16S-S33-N03,1.523216364,482.2456817,-32,0.00783649,0.005144699,0.99216351,0.651360853,P16S-S33,-32,Aphotic
P16S-S47-N12,20.42493241,19.1529645,-39,0.119512679,0.005851313,0.880487321,0.043108457,P16S-S47,-39,Euphotic
P16S-S47-N10,21.1184753,54.67547947,-39,0.207167461,0.009809774,0.792832539,0.03754213,P16S-S47,-39,Euphotic
P16S-S47-N09,18.70459393,69.06133682,-39,0.187815563,0.010041146,0.812184437,0.043421656,P16S-S47,-39,Euphotic
P16S-S47-N14,3.556057852,89.99343495,-39,0.019807469,0.005570064,0.980192531,0.275640209,P16S-S47,-39,Euphotic
P16S-S47-N08,10.01109983,168.4449816,-39,0.247962861,0.024768793,0.752037139,0.075120332,P16S-S47,-39,Euphotic
P16S-S47-N15,5.627883618,221.5885312,-39,0.130681338,0.023220334,0.869318662,0.154466354,P16S-S47,-39,Euphotic
P16S-S47-N04,2.681426701,262.4283345,-39,0.003024833,0.001128068,0.996975167,0.371807727,P16S-S47,-39,Aphotic
P16S-S47-N03,2.378984154,467.397052,-39,0.006004851,0.002524124,0.993995149,0.417823358,P16S-S47,-39,Aphotic
P16S-S70-N36,23.69772546,5.353394574,-50.4993,0.170239222,0.007183779,0.829760778,0.035014364,P16S-S70,-50.5,Euphotic
P16S-S70-N35,21.13482354,53.03207602,-50.4993,0.135787689,0.006424832,0.864212311,0.040890444,P16S-S70,-50.5,Euphotic
P16S-S70-N34,8.291390127,102.8796031,-50.4993,0.015933218,0.001921658,0.984066782,0.118685379,P16S-S70,-50.5,Aphotic
P16S-S70-N33,5.788850962,152.1206114,-50.4993,0.006767965,0.001169138,0.993232035,0.171576716,P16S-S70,-50.5,Aphotic
P16S-S70-N32,5.419129095,202.043077,-50.4993,0.004159093,0.000767484,0.995840907,0.183764013,P16S-S70,-50.5,Aphotic
P16S-S70-N30,4.645731313,301.2576367,-50.4993,0.002079228,0.000447557,0.997920772,0.214803807,P16S-S70,-50.5,Aphotic
P16S-S70-N28,4.449552363,400.0285546,-50.4993,0.001805813,0.000405841,0.998194187,0.224335867,P16S-S70,-50.5,Aphotic
P16S-S70-N26,2.607230817,499.8400028,-50.4993,0.001642865,0.000630119,0.998357135,0.382918585,P16S-S70,-50.5,Aphotic
P16S-S76-N36,20.99033511,7.135910671,-53.4995,0.127483699,0.006073448,0.872516301,0.041567526,P16S-S76,-53.5,Euphotic
P16S-S76-N35,19.07410503,54.60319708,-53.4995,0.090850577,0.004763032,0.909149423,0.047664067,P16S-S76,-53.5,Euphotic
P16S-S76-N34,21.78938215,86.50612047,-53.4995,0.128464002,0.005895716,0.871535998,0.039998197,P16S-S76,-53.5,Euphotic
P16S-S76-N33,15.10923741,104.1397634,-53.4995,0.161871553,0.010713416,0.838128447,0.055471261,P16S-S76,-53.5,Euphotic
P16S-S76-N32,7.125005667,153.0701217,-53.4995,0.019288446,0.002707148,0.980711554,0.137643617,P16S-S76,-53.5,Aphotic
P16S-S76-N30,3.587496786,256.1422279,-53.4995,0.010795965,0.003009331,0.989204035,0.275736563,P16S-S76,-53.5,Aphotic
P16S-S76-N28,3.732744662,354.1167135,-53.4995,0.013478123,0.003610781,0.986521877,0.264288604,P16S-S76,-53.5,Aphotic
P16S-S76-N26,3.124715674,452.53903,-53.4995,0.004206255,0.001346124,0.995793745,0.318682994,P16S-S76,-53.5,Aphotic
P16S-S84-N31,23.27837103,4.55751144,-57.5007,0.060478793,0.002598068,0.939521207,0.040360264,P16S-S84,-57.5,Euphotic
P16S-S84-N29,19.66806319,71.12522166,-57.5007,0.06562531,0.003336643,0.93437469,0.047507204,P16S-S84,-57.5,Euphotic
P16S-S84-N28,16.13823568,85.98112695,-57.5007,0.023095701,0.001431117,0.976904299,0.060533525,P16S-S84,-57.5,Euphotic
P16S-S84-N27,12.78998777,111.2336905,-57.5007,0.018639851,0.001457378,0.981360149,0.076728779,P16S-S84,-57.5,Euphotic
P16S-S84-N26,5.762923961,135.9880814,-57.5007,0.003999949,0.000694083,0.996000051,0.172828942,P16S-S84,-57.5,Aphotic
P16S-S84-N24,4.997363105,235.2726372,-57.5007,0.006406222,0.00128192,0.993593778,0.198823611,P16S-S84,-57.5,Aphotic
P16S-S84-N22,4.952134488,340.0483845,-57.5007,0.005630583,0.001137001,0.994369417,0.200796125,P16S-S84,-57.5,Aphotic
P16S-S84-N20,2.56233418,440.0252944,-57.5007,0.009993109,0.003900002,0.990006891,0.386369155,P16S-S84,-57.5,Aphotic
P16S-S90-N30,21.64548493,3.566026607,-60,0.090131856,0.004164003,0.909868144,0.042035009,P16S-S90,-60,Euphotic
P16S-S90-N29,20.76153152,39.61902084,-60,0.081136999,0.003908045,0.918863001,0.044257959,P16S-S90,-60,Euphotic
P16S-S90-N28,11.33602076,83.58714067,-60,0.065391598,0.005768479,0.934608402,0.082445897,P16S-S90,-60,Euphotic
P16S-S90-N27,6.28438331,133.9804088,-60,0.034423027,0.005477551,0.965576973,0.153647053,P16S-S90,-60,Euphotic
P16S-S90-N26,4.132033241,183.7674673,-60,0.010424544,0.002522861,0.989575456,0.239488745,P16S-S90,-60,Aphotic
P16S-S90-N24,2.882925259,288.1523563,-60,0.007139329,0.002476418,0.992860671,0.344393483,P16S-S90,-60,Aphotic
P16S-S90-N22,2.709327185,386.8486771,-60,0.007623605,0.002813837,0.992376395,0.366281489,P16S-S90,-60,Aphotic
P16S-S90-N20,2.209817018,488.4623482,-60,0.01636706,0.007406523,0.98363294,0.445119633,P16S-S90,-60,Aphotic
P16S-S96-N28,20.81939754,2.277688239,-63.499,0.207129699,0.009948881,0.792870301,0.038083249,P16S-S96,-63.5,Euphotic
P16S-S96-N27,28.01606866,39.60834844,-63.499,0.262468385,0.009368494,0.737531615,0.026325307,P16S-S96,-63.5,Euphotic
P16S-S96-N26,7.744336463,64.65666435,-63.499,0.037200677,0.004803598,0.962799323,0.124323023,P16S-S96,-63.5,Euphotic
P16S-S96-N25,4.452624321,89.70191097,-63.499,0.044256772,0.00993948,0.955743228,0.214647174,P16S-S96,-63.5,Aphotic
P16S-S96-N24,4.263728332,134.5381109,-63.499,0.03737032,0.008764705,0.96262968,0.225771814,P16S-S96,-63.5,Aphotic
P16S-S96-N23,4.626887522,164.4234547,-63.499,0.025135261,0.005432434,0.974864739,0.210695578,P16S-S96,-63.5,Aphotic
P16S-S96-N20,3.269363884,288.8658655,-63.499,0.008931707,0.00273194,0.991068293,0.303137958,P16S-S96,-63.5,Aphotic
P16S-S96-N18,2.109382883,473.5109929,-63.499,0.007127952,0.003379165,0.992872048,0.470693138,P16S-S96,-63.5,Aphotic
