SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
P15S_2016_12136	P15S	12136	18/6/16	2:44	-9.50	-169.00	5.30	5373.00	29.98	34.60	192.60	0.27	0.01	-0.06	-0.05	0.02	0.15		0.06
P15S_2016_12801	P15S	12801	20/6/16	1:47	-6.00	-168.75	5765.10	5685.00	1.27	34.71	199.70	120.16	0.00	31.77	31.77		2.22		
P15S_2016_12813	P15S	12813	20/6/16	1:47	-6.00	-168.75	2061.00	5685.00	2.20	34.64	-999.00	128.37	0.00	36.53	36.53		2.62		
P15S_2016_12820	P15S	12820	20/6/16	1:47	-6.00	-168.75	966.80	5685.00	4.61	34.54	89.50	75.48	0.00	37.99	37.99		2.76		
P15S_2016_12825	P15S	12825	20/6/16	1:47	-6.00	-168.75	465.50	5685.00	8.57	34.65	84.30	29.46	0.00	32.00	32.00		2.27		
P15S_2016_12832	P15S	12832	20/6/16	1:47	-6.00	-168.75	105.50	5685.00	28.78	35.92	170.90	1.32	0.94	0.70	1.64		0.43		
P15S_2016_12833	P15S	12833	20/6/16	1:47	-6.00	-168.75	66.10	5685.00	30.28	34.89	192.10	0.58	0.00	0.02	0.02		0.14		
P15S_2016_12835	P15S	12835	20/6/16	1:47	-6.00	-168.75	19.70	5685.00	30.30	34.89	192.00	0.59	0.00	0.02	0.02		0.14		
P15S_2016_12836	P15S	12836	20/6/16	1:47	-6.00	-168.75	5.60	5685.00	30.46	34.90	192.00	0.60	0.00	0.02	0.02	0.02	0.14		
P15S_2016_12836	P15S	12836	20/6/16	1:47	-6.00	-168.75	5.60	5685.00	30.46	34.90	192.00	0.60	0.00	0.02	0.02	0.02	0.14		
P15S_2016_13433	P15S	13433	22/6/16	17:21	-3.00	-168.75	81.00	5431.00	29.64	35.57	177.70	1.37	0.27	1.28	1.55	0.29	0.43		0.15
P15S_2016_13434	P15S	13434	22/6/16	17:21	-3.00	-168.75	40.80	5431.00	29.97	34.84	193.20	0.69	0.01	0.01	0.02		0.18		0.15
P15S_2016_13435	P15S	13435	22/6/16	17:21	-3.00	-168.75	20.10	5431.00	29.97	34.84	194.10	0.71	0.01	0.01	0.02		0.19		0.15
P15S_2016_13701	P15S	13701	23/6/16	12:28	-1.50	-168.75	6015.10	5926.00	1.35	34.71	195.90	122.32	0.00	32.46	32.46		2.23		0.16
P15S_2016_13713	P15S	13713	23/6/16	12:28	-1.50	-168.75	2061.10	5926.00	2.21	34.64	112.40	136.81	0.01	37.84	37.85		2.68		0.16
P15S_2016_13720	P15S	13720	23/6/16	12:28	-1.50	-168.75	966.50	5926.00	4.51	34.55	89.10	83.50	0.01	38.25	38.26		2.74		0.16
P15S_2016_13725	P15S	13725	23/6/16	12:28	-1.50	-168.75	465.40	5926.00	8.36	34.64	64.80	34.40	0.01	35.02	35.03		2.44		0.16
P15S_2016_13733	P15S	13733	23/6/16	12:28	-1.50	-168.75	66.90	5926.00	28.49	35.45	179.20	0.67	0.76	2.12	2.88		0.49		0.16
P15S_2016_13734	P15S	13734	23/6/16	12:28	-1.50	-168.75	39.90	5926.00	29.06	35.32	196.90	0.25	0.11	1.18	1.29		0.30		0.16
P15S_2016_13735	P15S	13735	23/6/16	12:28	-1.50	-168.75	20.50	5926.00	29.06	35.32	197.40	0.25	0.09	1.13	1.22		0.29		0.16
P15S_2016_13736	P15S	13736	23/6/16	12:28	-1.50	-168.75	7.00	5926.00	29.05	35.32	197.30	0.26	0.09	1.10	1.19	0.06	0.29		0.16
P15S_2016_14033	P15S	14033	24/6/16	9:05	0.00	-168.74	65.20	5561.00	27.07	35.17	159.10	2.93	0.47	4.84	5.31	0.16	0.52		0.20
P15S_2016_14034	P15S	14034	24/6/16	9:05	0.00	-168.74	39.40	5561.00	28.06	35.23	182.40	2.03	0.43	2.31	2.74		0.39		0.20
P15S_2016_14035	P15S	14035	24/6/16	9:05	0.00	-168.74	19.00	5561.00	28.11	35.24	186.80	1.94	0.40	2.04	2.44		0.37		0.20
P15S_2016_14036	P15S	14036	24/6/16	9:05	0.00	-168.74	5.90	5561.00	28.10	35.24	187.10	1.93	0.40	1.95	2.35	0.11	0.36		0.20
P15S_2016_1501	P15S	1501	11/5/16	0:50	-60.00	-170.00	3880.00	3939.00	0.87	34.71	205.80	121.04	0.00	32.18	32.18		2.24		
P15S_2016_1510	P15S	1510	11/5/16	0:50	-60.00	-170.00	2085.00	3939.00	1.57	34.74	196.10	97.95	0.00	31.15	31.15		2.16		
P15S_2016_1518	P15S	1518	11/5/16	0:50	-60.00	-170.00	1035.00	3939.00	2.33	34.65	175.90	77.41	0.00	32.92	32.92		2.27		
P15S_2016_1523	P15S	1523	11/5/16	0:50	-60.00	-170.00	535.00	3939.00	2.47	34.40	193.00	58.63	0.00	34.43	34.43		2.37		
P15S_2016_1531	P15S	1531	11/5/16	15:21	-60.00	-170.02	132.60	3827.00	2.21	33.94	319.10	17.03	0.25	27.12	27.37		1.91		
P15S_2016_1534	P15S	1534	11/5/16	0:50	-60.00	-170.00	60.00	3939.00	2.26	33.92	320.10	15.82	0.27	26.87	27.14		1.90		
P15S_2016_1535	P15S	1535	11/5/16	0:50	-60.00	-170.00	35.00	3939.00	2.26	33.92	320.20	15.78	0.27	26.84	27.11		1.89		
